primary_key,id_estacao,data_medicao,altura_agua,data_particao
2_2024-03-21 03:45:00,2,2024-03-21T03:45:00,0.34,2024-03-21
2_2024-03-21 03:15:00,2,2024-03-21T03:15:00,0.34,2024-03-21
2_2024-03-21 03:30:00,2,2024-03-21T03:30:00,0.34,2024-03-21
2_2024-03-21 01:15:00,2,2024-03-21T01:15:00,0.34,2024-03-21
2_2024-03-21 02:00:00,2,2024-03-21T02:00:00,0.34,2024-03-21
2_2024-03-21 01:30:00,2,2024-03-21T01:30:00,0.34,2024-03-21
2_2024-03-21 01:00:00,2,2024-03-21T01:00:00,0.34,2024-03-21
2_2024-03-21 00:45:00,2,2024-03-21T00:45:00,0.34,2024-03-21
2_2024-03-21 00:30:00,2,2024-03-21T00:30:00,0.34,2024-03-21
2_2024-03-21 00:00:00,2,2024-03-21T00:00:00,0.34,2024-03-21
2_2024-03-21 01:45:00,2,2024-03-21T01:45:00,0.34,2024-03-21
2_2024-03-21 03:00:00,2,2024-03-21T03:00:00,0.34,2024-03-21
2_2024-03-21 02:45:00,2,2024-03-21T02:45:00,0.34,2024-03-21
2_2024-03-21 02:15:00,2,2024-03-21T02:15:00,0.34,2024-03-21
2_2024-03-21 02:30:00,2,2024-03-21T02:30:00,0.34,2024-03-21
2_2024-03-21 07:15:00,2,2024-03-21T07:15:00,0.34,2024-03-21
2_2024-03-21 07:45:00,2,2024-03-21T07:45:00,0.34,2024-03-21
2_2024-03-21 15:45:00,2,2024-03-21T15:45:00,0.33,2024-03-21
2_2024-03-21 16:00:00,2,2024-03-21T16:00:00,0.33,2024-03-21
2_2024-03-21 15:15:00,2,2024-03-21T15:15:00,0.33,2024-03-21
2_2024-03-21 20:30:00,2,2024-03-21T20:30:00,0.33,2024-03-21
5_2024-03-21 22:45:00,5,2024-03-21T22:45:00,0.17,2024-03-21
5_2024-03-21 23:00:00,5,2024-03-21T23:00:00,0.16,2024-03-21
5_2024-03-21 22:30:00,5,2024-03-21T22:30:00,0.17,2024-03-21
5_2024-03-21 22:00:00,5,2024-03-21T22:00:00,0.17,2024-03-21
5_2024-03-21 22:15:00,5,2024-03-21T22:15:00,0.17,2024-03-21
5_2024-03-21 21:45:00,5,2024-03-21T21:45:00,0.17,2024-03-21
5_2024-03-21 21:15:00,5,2024-03-21T21:15:00,,2024-03-21
5_2024-03-21 21:30:00,5,2024-03-21T21:30:00,,2024-03-21
5_2024-03-21 21:00:00,5,2024-03-21T21:00:00,0.17,2024-03-21
5_2024-03-21 20:30:00,5,2024-03-21T20:30:00,,2024-03-21
5_2024-03-21 20:45:00,5,2024-03-21T20:45:00,0.17,2024-03-21
