wkt_geom;id;nome;PROF
Point (-4812823.88246186636388302 -2622256.27394518302753568);3;PRACA VARNHAGEN;21.5
Point (-4812822.37672936171293259 -2621852.4796177064999938);2;PRACA NITEROI;22.25
Point (-4810631.48253296315670013 -2621283.35551544185727835);1;PRACA DA BANDEIRA;18
