id_estacao,data_medicao,coleta,ponto,data_inicio,data_fim,ph,temperatura_do_ar,temperatura_da_agua,salinidade,oxigenio_dissolvido,turbidez,disco_de_secchi,profundidade_total,profundidade_de_coleta,coliformes_totais,escherichia_coli,nitrogenio_amoniacal,fosforo_total_mg_l,fosforo_total_mg_kg,fosfato_total,nitrato,silica,sulfeto,materia_organica
1,2024-04-24 12:47:00,Regular,LRF4 - Fundo,2024-04-24 12:44:00,2024-04-24 12:47:00,7.05,,25.3,10.4,4.42,2.81,,,3.2,,,0.11,0.024,,<0.016,0.13,6.9,0.3,
1,2023-04-29 10:11:00,Extra,LRF5 - Fundo,2023-04-29 10:08:00,2023-04-29 10:11:00,,,25.4,,3.96,,,,,,,,,,,,,,
1,2023-04-22 11:59:00,Extra,LRF5 - Fundo,2023-04-22 11:56:00,2023-04-22 11:59:00,,,25.4,,6.37,,,,,,,,,,,,,,
1,2023-04-23 11:04:00,Extra,LRF4 - Fundo,2023-04-23 11:01:00,2023-04-23 11:04:00,,,25.4,,5.47,,,,,,,,,,,,,,
1,2023-04-29 10:02:00,Extra,LRF6 - Fundo,2023-04-29 09:59:00,2023-04-29 10:02:00,,,25.4,,3.79,,,,,,,,,,,,,,
1,2024-04-29 10:02:00,Extra,LRF6 - Fundo,2024-04-29 09:59:00,2024-04-29 10:02:00,,,25.4,,3.79,,,,,,,,,,,,,,
1,2024-04-29 09:54:00,Extra,LRF4 - Fundo,2024-04-29 09:51:00,2024-04-29 09:54:00,,,25.4,,4.58,,,,,,,,,,,,,,
1,2024-04-30 10:24:00,Extra,LRF5 - Fundo,2024-04-30 10:21:00,2024-04-30 10:24:00,,,25.4,,4.94,,,,,,,,,,,,,,
1,2023-04-22 11:06:00,Extra,LRF3 - Fundo,2023-04-22 11:03:00,2023-04-22 11:06:00,,,25.4,,4.5,,,,,,,,,,,,,,
1,2024-04-22 11:06:00,Extra,LRF3 - Fundo,2024-04-22 11:03:00,2024-04-22 11:06:00,,,25.4,,4.5,,,,,,,,,,,,,,
1,2023-04-29 09:54:00,Extra,LRF4 - Fundo,2023-04-29 09:51:00,2023-04-29 09:54:00,,,25.4,,4.58,,,,,,,,,,,,,,
1,2023-04-30 10:24:00,Extra,LRF5 - Fundo,2023-04-30 10:21:00,2023-04-30 10:24:00,,,25.4,,4.94,,,,,,,,,,,,,,
1,2024-04-23 11:04:00,Extra,LRF4 - Fundo,2024-04-23 11:01:00,2024-04-23 11:04:00,,,25.4,,5.47,,,,,,,,,,,,,,
1,2024-04-22 11:59:00,Extra,LRF5 - Fundo,2024-04-22 11:56:00,2024-04-22 11:59:00,,,25.4,,6.37,,,,,,,,,,,,,,
1,2024-04-29 10:11:00,Extra,LRF5 - Fundo,2024-04-29 10:08:00,2024-04-29 10:11:00,,,25.4,,3.96,,,,,,,,,,,,,,
